E0:CB:4E:8C:6F:C6,5,4,RM1,1-01
E0:CB:4E:8C:74:7A,5,3,RM1,1-07
E0:CB:4E:8C:70:78,5,2,RM1,1-13
70:71:BC:AC:70:20,5,1,RM1,1-19
70:54:D2:AB:35:93,5,0,RM1,1-25
E0:CB:4E:8C:6D:62,4,4,RM1,1-02
E0:CB:4E:8C:74:B3,4,3,RM1,1-08
E0:CB:4E:8C:70:03,4,2,RM1,1-14
70:71:BC:A3:74:85,4,1,RM1,1-20
70:71:BC:AC:70:89,4,0,RM1,1-26
E0:CB:4E:8C:72:FC,3,4,RM1,1-03
E0:CB:4E:8C:6F:C1,3,3,RM1,1-09
E0:CB:4E:8C:6F:CF,3,2,RM1,1-15
70:71:BC:AC:E8:6D,3,1,RM1,1-21
E0:CB:4E:8C:6E:F2,3,0,RM1,1-27
E0:CB:4E:8C:71:0E,2,4,RM1,1-04
E0:CB:4E:8C:74:39,2,3,RM1,1-10
E0:CB:4E:8C:4B:DA,2,2,RM1,1-16
70:71:BC:63:5F:F6,2,1,RM1,1-22
70:71:BC:A3:70:FA,2,0,RM1,1-28
E0:CB:4E:8C:73:22,1,4,RM1,1-05
E0:CB:4E:8C:71:14,1,3,RM1,1-11
E0:CB:4E:8C:74:C6,1,2,RM1,1-17
70:71:BC:AC:6F:D5,1,1,RM1,1-23
E0:69:95:C8:82:F5,1,0,RM1,1-29
38:60:77:3F:33:87,0,4,RM1,1-06
E0:CB:4E:8C:73:43,0,3,RM1,1-12
E0:CB:4E:8C:73:0C,0,2,RM1,1-18
70:71:BC:A3:70:29,0,1,RM1,1-24
E0:CB:4E:8C:6C:AB,0,0,RM1,1-30
38:60:77:3F:32:25,0,0,rm2,2-25
38:60:77:3F:32:89,0,1,rm2,2-19
38:60:77:3F:2D:28,0,2,rm2,2-13
38:60:77:3F:32:B3,0,3,rm2,2-07
38:60:77:3F:31:C5,0,4,rm2,2-01
38:60:77:3F:2B:F6,1,0,rm2,2-26
38:60:77:3F:31:D1,1,1,rm2,2-20
38:60:77:3F:09:01,1,2,rm2,2-14
38:60:77:3F:32:16,1,3,rm2,2-08
38:60:77:3C:AC:93,1,4,rm2,2-02
38:60:77:3F:31:F4,2,0,rm2,2-27
38:60:77:3F:2C:76,2,1,rm2,2-21
38:60:77:3F:31:12,2,2,rm2,2-15
38:60:77:3F:2B:CB,2,3,rm2,2-09
38:60:77:3F:32:A1,2,4,rm2,2-03
70:54:D2:AB:2D:B7,3,0,rm2,2-28
70:71:BC:A3:75:B3,3,1,rm2,2-22
38:60:77:3F:2C:F5,3,2,rm2,2-16
38:60:77:3F:1F:B1,3,3,rm2,2-10
38:60:77:3F:2B:CD,3,4,rm2,2-04
38:60:77:3F:32:2D,4,0,rm2,2-29
38:60:77:3F:32:96,4,1,rm2,2-23
38:60:77:3F:17:04,4,2,rm2,2-17
70:71:BC:B1:74:21,4,3,rm2,2-11
38:60:77:3F:2F:AE,4,4,rm2,2-05
38:60:77:3F:33:4D,5,0,rm2,2-30
38:60:77:3F:33:32,5,1,rm2,2-24
38:60:77:3F:33:8F,5,2,rm2,2-18
38:60:77:3F:2C:AC,5,3,rm2,2-12
38:60:77:3F:32:D8,5,4,rm2,2-06
70:54:D2:44:FD:D5,7,4,rm3,3-01
70:54:D2:19:CA:2A,7,3,rm3,3-09
70:54:D2:7B:FD:D0,7,2,rm3,3-17
70:54:D2:45:09:59,7,1,rm3,3-25
70:54:D2:7C:50:97,7,0,rm3,3-33
70:54:D2:45:08:B1,6,4,rm3,3-02
70:54:D2:7C:50:7F,6,3,rm3,3-10
70:54:D2:7B:FD:73,6,2,rm3,3-18
70:54:D2:45:08:C8,6,1,rm3,3-26
70:54:D2:7B:F8:98,6,0,rm3,3-34
70:54:D2:45:0A:3B,5,4,rm3,3-03
70:54:D2:8F:C1:3C,5,3,rm3,3-11
70:54:D2:7C:50:89,5,2,rm3,3-19
70:54:D2:19:C6:C5,5,1,rm3,3-27
70:54:D2:1A:0A:F5,5,0,rm3,3-35
70:54:D2:7C:4E:49,4,4,rm3,3-04
70:54:D2:45:08:DD,4,3,rm3,3-12
70:54:D2:19:CA:8C,4,2,rm3,3-20
70:54:D2:8F:C1:31,4,1,rm3,3-28
70:54:D2:7C:51:A2,4,0,rm3,3-36
70:54:D2:19:C6:A1,3,4,rm3,3-05
70:54:D2:7B:FD:CE,3,3,rm3,3-13
70:54:D2:45:06:BF,3,2,rm3,3-21
70:54:D2:7C:51:7C,3,1,rm3,3-29
70:54:D2:7B:FD:CB,3,0,rm3,3-37
70:54:D2:45:02:52,2,4,rm3,3-06
70:54:D2:7C:51:59,2,3,rm3,3-14
70:54:D2:7B:FD:C9,2,2,rm3,3-22
70:54:D2:7B:FD:7E,2,1,rm3,3-30
70:54:D2:7B:FD:78,2,0,rm3,3-38
70:54:D2:7C:50:81,1,4,rm3,3-07
70:54:D2:7C:50:8C,1,3,rm3,3-15
70:54:D2:7B:FE:6F,1,2,rm3,3-23
70:54:D2:45:0A:C9,1,1,rm3,3-31
70:54:D2:7B:FC:CB,1,0,rm3,3-39
70:54:D2:45:09:E5,0,4,rm3,3-08
70:54:D2:45:09:B8,0,3,rm3,3-16
70:54:D2:45:0A:CF,0,2,rm3,3-24
E0:CB:4E:8C:74:6D,0,1,rm3,3-32
E0:CB:4E:8C:73:29,0,0,rm3,3-40
B4:2E:99:45:6A:8A,3,4,RM4,4-01
E0:CB:4E:8C:71:31,3,3,RM4,4-05
E0:CB:4E:8C:73:80,3,2,RM4,4-09
E0:CB:4E:8C:6F:B2,3,1,RM4,4-13
E0:CB:4E:8C:71:67,3,0,RM4,4-17
E0:CB:4E:8C:74:9E,2,4,RM4,4-02
B4:2E:99:45:68:11,2,3,RM4,4-06
B4:2E:99:45:6A:54,2,2,RM4,4-10
B4:2E:99:45:68:0F,2,1,RM4,4-14
E0:CB:4E:8C:72:9D,2,0,RM4,4-18
B4:2E:99:18:41:EA,1,4,RM4,4-03
B4:2E:99:44:75:7F,1,3,RM4,4-07
B4:2E:99:45:6A:81,1,2,RM4,4-11
E0:CB:4E:8C:6D:7C,1,1,RM4,4-15
E0:CB:4E:8C:74:62,1,0,RM4,4-19
B4:2E:99:45:67:E6,0,4,RM4,4-04
B4:2E:99:44:75:80,0,3,RM4,4-08
E0:CB:4E:8C:74:AE,0,2,RM4,4-12
E0:CB:4E:8C:74:83,0,1,RM4,4-16
E0:CB:4E:8C:6C:90,0,0,RM4,4-20
E0:CB:4E:8C:6F:3B,3,4,RM5,5-01
B4:2E:99:45:67:AD,3,3,RM5,5-05
B4:2E:99:45:68:73,3,2,RM5,5-09
E0:CB:4E:8C:74:57,3,1,RM5,5-13
E0:CB:4E:8C:6E:39,3,0,RM5,5-17
E0:CB:4E:8C:73:D9,2,4,RM5,5-02
B4:2E:99:45:67:37,2,3,RM5,5-06
B4:2E:99:44:75:79,2,2,RM5,5-10
B4:2E:99:45:68:13,2,1,RM5,5-14
E0:CB:4E:8C:72:55,2,0,RM5,5-18
E0:CB:4E:8C:6F:99,1,4,RM5,5-03
B4:2E:99:45:6A:09,1,3,RM5,5-07
B4:2E:99:45:67:E4,1,2,RM5,5-11
B4:2E:99:44:75:78,1,1,RM5,5-15
E0:69:95:B4:5F:BC,1,0,RM5,5-19
E0:CB:4E:8C:72:33,0,4,RM5,5-04
B4:2E:99:45:6A:16,0,3,RM5,5-08
B4:2E:99:45:6A:7B,0,2,RM5,5-12
E0:CB:4E:8C:63:37,0,1,RM5,5-16
E0:69:95:B4:7C:A9,0,0,RM5,5-20
18:C0:4D:C4:79:65,99,99,RM1,1-00
38:60:77:3F:32:76,99,99,RM2,2-00
70:54:D2:45:09:BE,99,99,RM3,3-00
B4:2E:99:45:67:9A,99,99,RM4,4-00
B4:2E:99:45:68:12,99,99,RM5,5-00
